engine_id,cycles_survived,partition
1,192,validation
2,287,train
3,179,train
4,189,train
5,269,validation
6,188,train
7,259,train
8,150,train
9,201,train
10,222,train
11,240,validation
12,170,train
13,163,validation
14,180,train
15,207,train
16,209,train
17,276,train
18,195,train
19,158,validation
20,234,train
21,195,train
22,202,train
23,168,validation
24,147,train
25,230,train
26,199,train
27,156,train
28,165,train
29,163,train
30,194,train
31,234,validation
32,191,validation
33,200,train
34,195,validation
35,181,train
36,158,train
37,170,train
38,194,train
39,128,train
40,188,validation
41,216,train
42,196,train
43,207,train
44,192,train
45,158,validation
46,256,validation
47,214,train
48,231,train
49,215,train
50,198,train
51,213,train
52,213,train
53,195,train
54,257,validation
55,193,train
56,275,train
57,137,train
58,147,train
59,231,train
60,172,train
61,185,train
62,180,train
63,174,train
64,283,train
65,153,train
66,202,train
67,313,train
68,199,train
69,362,train
70,137,train
71,208,validation
72,213,train
73,213,train
74,166,validation
75,229,train
76,210,train
77,154,validation
78,231,validation
79,199,train
80,185,train
81,240,validation
82,214,train
83,293,train
84,267,validation
85,188,train
86,278,train
87,178,train
88,213,train
89,217,train
90,154,train
91,135,validation
92,341,train
93,155,train
94,258,train
95,283,train
96,336,train
97,202,train
98,156,train
99,185,train
100,200,train
