engine_id,sensor,cycles_survived,slope_per_cycle,start_mean,end_mean,trend_r2,spearman_cycle
2,sensor_1,287,-1.8362181078188383e-16,518.67,518.67,,
3,sensor_1,179,3.04728077349276e-16,518.67,518.67,,
4,sensor_1,189,-3.1244566958959414e-15,518.67,518.67,,
6,sensor_1,188,-2.1646471053870982e-16,518.67,518.67,,
7,sensor_1,259,-4.2687094886616514e-16,518.67,518.67,,
8,sensor_1,150,2.273747190127815e-16,518.67,518.67,,
9,sensor_1,201,-6.996055443683267e-16,518.67,518.67,,
10,sensor_1,222,6.17190583000283e-16,518.67,518.67,,
12,sensor_1,170,2.4048361882818102e-15,518.67,518.67,,
14,sensor_1,180,-1.9779356430183025e-15,518.67,518.67,,
15,sensor_1,207,1.6900672105903068e-15,518.67,518.67,,
16,sensor_1,209,2.7413173116474873e-17,518.67,518.67,,
17,sensor_1,276,4.119004168064172e-16,518.67,518.67,,
18,sensor_1,195,-5.950236658862115e-16,518.67,518.67,,
20,sensor_1,234,-9.048242025510914e-16,518.67,518.67,,
21,sensor_1,195,-5.950236658862115e-16,518.67,518.67,,
22,sensor_1,202,7.884029984768664e-16,518.67,518.67,,
24,sensor_1,147,-1.907192449906373e-15,518.67,518.67,,
25,sensor_1,230,-1.1365776034001958e-16,518.67,518.67,,
26,sensor_1,199,3.032656395046515e-15,518.67,518.67,,
27,sensor_1,156,-1.0679337446853412e-15,518.67,518.67,,
28,sensor_1,165,2.0158213539495168e-15,518.67,518.67,,
29,sensor_1,163,7.858350110232377e-16,518.67,518.67,,
30,sensor_1,194,-2.825503563299035e-15,518.67,518.67,,
33,sensor_1,200,1.7966324004150404e-15,518.67,518.67,,
35,sensor_1,181,-2.825801266974232e-16,518.67,518.67,,
36,sensor_1,158,-1.0952158242598892e-15,518.67,518.67,,
37,sensor_1,170,2.4048361882818102e-15,518.67,518.67,,
38,sensor_1,194,-2.825503563299035e-15,518.67,518.67,,
39,sensor_1,128,-3.72017665802279e-16,518.67,518.67,,
41,sensor_1,216,-8.920578285207e-16,518.67,518.67,,
42,sensor_1,196,-7.79253326173104e-16,518.67,518.67,,
43,sensor_1,207,1.6900672105903068e-15,518.67,518.67,,
44,sensor_1,192,1.545029829014151e-15,518.67,518.67,,
47,sensor_1,214,-4.056029981135213e-17,518.67,518.67,,
48,sensor_1,231,-8.273484507279447e-16,518.67,518.67,,
49,sensor_1,215,1.533786188374365e-15,518.67,518.67,,
50,sensor_1,198,8.952936083033082e-16,518.67,518.67,,
51,sensor_1,213,-1.088029447315179e-15,518.67,518.67,,
52,sensor_1,213,-1.088029447315179e-15,518.67,518.67,,
53,sensor_1,195,-5.950236658862115e-16,518.67,518.67,,
55,sensor_1,193,6.7777717387713495e-16,518.67,518.67,,
56,sensor_1,275,-8.0585972675873e-16,518.67,518.67,,
57,sensor_1,137,-1.2613185882050748e-15,518.67,518.67,,
58,sensor_1,147,-1.907192449906373e-15,518.67,518.67,,
59,sensor_1,231,-8.273484507279447e-16,518.67,518.67,,
60,sensor_1,172,-1.4117538855829165e-15,518.67,518.67,,
61,sensor_1,185,2.805459003655704e-16,518.67,518.67,,
62,sensor_1,180,-1.9779356430183025e-15,518.67,518.67,,
63,sensor_1,174,2.1469062344378133e-16,518.67,518.67,,
64,sensor_1,283,4.7733001207515295e-16,518.67,518.67,,
65,sensor_1,153,1.2134864345138059e-15,518.67,518.67,,
66,sensor_1,202,7.884029984768664e-16,518.67,518.67,,
67,sensor_1,313,1.171451041876581e-16,518.67,518.67,,
68,sensor_1,199,3.032656395046515e-15,518.67,518.67,,
69,sensor_1,362,-1.4561455156359517e-16,518.67,518.67,,
70,sensor_1,137,-1.2613185882050748e-15,518.67,518.67,,
72,sensor_1,213,-1.088029447315179e-15,518.67,518.67,,
73,sensor_1,213,-1.088029447315179e-15,518.67,518.67,,
75,sensor_1,229,3.1618701286059676e-16,518.67,518.67,,
76,sensor_1,210,5.959470681758827e-16,518.67,518.67,,
79,sensor_1,199,3.032656395046515e-15,518.67,518.67,,
80,sensor_1,185,2.805459003655704e-16,518.67,518.67,,
82,sensor_1,214,-4.056029981135213e-17,518.67,518.67,,
83,sensor_1,293,-3.2903534518513423e-16,518.67,518.67,,
85,sensor_1,188,-2.1646471053870982e-16,518.67,518.67,,
86,sensor_1,278,-2.730238075227833e-16,518.67,518.67,,
87,sensor_1,178,2.328533451642744e-16,518.67,518.67,,
88,sensor_1,213,-1.088029447315179e-15,518.67,518.67,,
89,sensor_1,217,-1.5667779425598088e-15,518.67,518.67,,
90,sensor_1,154,-1.4611171222189422e-15,518.67,518.67,,
92,sensor_1,341,-9.30964476027679e-16,518.67,518.67,,
93,sensor_1,155,-7.060752345392941e-17,518.67,518.67,,
94,sensor_1,258,-1.7452976304399975e-16,518.67,518.67,,
95,sensor_1,283,4.7733001207515295e-16,518.67,518.67,,
96,sensor_1,336,-2.0882098410552925e-15,518.67,518.67,,
97,sensor_1,202,7.884029984768664e-16,518.67,518.67,,
98,sensor_1,156,-1.0679337446853412e-15,518.67,518.67,,
99,sensor_1,185,2.805459003655704e-16,518.67,518.67,,
100,sensor_1,200,1.7966324004150404e-15,518.67,518.67,,
2,sensor_2,287,0.005309050705391642,641.9175,643.73,0.618612904698814,0.7781368951340211
3,sensor_2,179,0.006065741845044715,642.3610000000001,643.5859999999999,0.43934672462304214,0.6259354792433982
4,sensor_2,189,0.004947972768800289,642.421,643.684,0.3759529346645587,0.5900781289711147
6,sensor_2,188,0.00581217141918087,642.5735000000001,643.708,0.4807587507848331,0.6813655229279328
7,sensor_2,259,0.004794455073526088,642.2905,643.7560000000001,0.5115472290505136,0.696524614928582
8,sensor_2,150,0.005940015111783317,642.679,643.5959999999999,0.3635768259962505,0.5919492222421301
9,sensor_2,201,0.0060936013004271134,641.951,643.6020000000001,0.5482982024489077,0.7212979943439459
10,sensor_2,222,0.006804807973366332,642.0550000000001,643.674,0.5737128521774935,0.7424110274117476
12,sensor_2,170,0.005598292633779093,642.5580000000001,643.586,0.44236314752578054,0.6730461209965555
