partition,scope,target,model,n_predictions,n_engines,MAE,RMSE,R2
train,endpoint,rul_target,Linear Regression,80,80,1.66228361125,5.004854453270195,
train,endpoint,rul_target,Random Forest,80,80,1.2194467468913501,1.3675467845697742,
train,endpoint,rul_target,XGBoost,80,80,2.7049605404875,3.6912856523628603,
train,endpoint,rul_target,LSTM,80,80,1.9670493153749997,2.40584113185369,
train,endpoint,rul_target,Ensemble mean,80,80,1.8884350523679714,2.5985330144473133,
train,endpoint,rul_raw,Linear Regression,80,80,1.66228361125,5.004854453270195,
train,endpoint,rul_raw,Random Forest,80,80,1.2194467468913501,1.3675467845697742,
train,endpoint,rul_raw,XGBoost,80,80,2.7049605404875,3.6912856523628603,
train,endpoint,rul_raw,LSTM,80,80,1.9670493153749997,2.40584113185369,
train,endpoint,rul_raw,Ensemble mean,80,80,1.8884350523679714,2.5985330144473133,
train,all_cycles_engine_weighted,rul_target,Linear Regression,16561,80,12.628309157507084,15.921914069348142,0.8548023706772574
train,all_cycles_engine_weighted,rul_target,Random Forest,16561,80,2.414495579959797,3.7896587661579924,0.9917743696881056
train,all_cycles_engine_weighted,rul_target,XGBoost,16561,80,6.478774992199344,9.230266692750712,0.9512025112073961
train,all_cycles_engine_weighted,rul_target,LSTM,16561,80,8.112049915228269,11.12970999007502,0.9290525696898654
train,all_cycles_engine_weighted,rul_target,Ensemble mean,16561,80,6.718389474985723,8.904650029992627,0.9545846479359155
train,all_cycles_engine_weighted,rul_raw,Linear Regression,16561,80,30.447768825889007,45.69781223823117,0.5157497025824178
train,all_cycles_engine_weighted,rul_raw,Random Forest,16561,80,20.233955248341715,39.359112026003096,0.6407724288120701
train,all_cycles_engine_weighted,rul_raw,XGBoost,16561,80,24.29823466058126,41.22283621589395,0.6059468387491083
train,all_cycles_engine_weighted,rul_raw,LSTM,16561,80,25.931509583610186,42.90048568084193,0.5732205532398272
train,all_cycles_engine_weighted,rul_raw,Ensemble mean,16561,80,24.53784914336764,41.88507395142388,0.5931843502425447
validation,endpoint,rul_target,Linear Regression,20,20,14.827382599999998,17.534411974576237,0.6524069593153831
validation,endpoint,rul_target,Random Forest,20,20,13.788891622685664,18.20932827270429,0.6251336039375737
validation,endpoint,rul_target,XGBoost,20,20,12.868201649999998,17.145117147701733,0.6676699797254286
validation,endpoint,rul_target,LSTM,20,20,12.671310800000002,15.145648188666993,0.7406630556371941
validation,endpoint,rul_target,Ensemble mean,20,20,12.348426916400506,15.803007255077137,0.7176627766756595
validation,endpoint,rul_raw,Linear Regression,20,20,16.5273826,20.91967772921377,0.6122501345245858
validation,endpoint,rul_raw,Random Forest,20,20,15.488891622685665,21.06524152250945,0.6068352604319274
validation,endpoint,rul_raw,XGBoost,20,20,14.56820165,20.200350987258016,0.638457374859364
validation,endpoint,rul_raw,LSTM,20,20,14.3713108,18.76831756058256,0.6879010106743941
validation,endpoint,rul_raw,Ensemble mean,20,20,14.048426916400505,19.22394637373032,0.6725637418413994
validation,all_cycles_engine_weighted,rul_target,Linear Regression,4070,20,12.296091538645484,15.392495401060689,0.8644517603878273
validation,all_cycles_engine_weighted,rul_target,Random Forest,4070,20,8.775290412708248,12.247441181419243,0.9141843410699336
validation,all_cycles_engine_weighted,rul_target,XGBoost,4070,20,8.535332593154928,11.818190738032277,0.9200942915111907
validation,all_cycles_engine_weighted,rul_target,LSTM,4070,20,9.542217754853334,13.648048133658436,0.8934344311260384
validation,all_cycles_engine_weighted,rul_target,Ensemble mean,4070,20,8.854582307513608,11.671887474424514,0.9220604308540039
validation,all_cycles_engine_weighted,rul_raw,Linear Regression,4070,20,28.931258424532224,41.62503515987527,0.5696351386930902
validation,all_cycles_engine_weighted,rul_raw,Random Forest,4070,20,25.410457298594988,39.74071119982405,0.6077175781922273
validation,all_cycles_engine_weighted,rul_raw,XGBoost,4070,20,25.17049947904167,39.02170843599111,0.621783791116217
validation,all_cycles_engine_weighted,rul_raw,LSTM,4070,20,26.177384640740076,40.136730848544396,0.5998603663800507
validation,all_cycles_engine_weighted,rul_raw,Ensemble mean,4070,20,25.48974919340035,39.61591477175691,0.6101774525621086
test,endpoint,rul_target,Linear Regression,100,100,12.354240663,15.146055838381178,0.8571469891137591
test,endpoint,rul_target,Random Forest,100,100,9.850747404621178,13.744184677955456,0.8823672485670545
test,endpoint,rul_target,XGBoost,100,100,9.116853027,12.353166301195298,0.9049730331643258
test,endpoint,rul_target,LSTM,100,100,10.549809287,14.327533637219506,0.8721698894051617
test,endpoint,rul_target,Ensemble mean,100,100,9.261205633789386,12.409243788046407,0.904108320648392
test,endpoint,rul_raw,Linear Regression,100,100,13.424240663,16.542189923325164,0.8415375153634295
test,endpoint,rul_raw,Random Forest,100,100,10.92074740462118,15.057754377647436,0.8687011648722286
test,endpoint,rul_raw,XGBoost,100,100,10.186853027,13.595963259180541,0.8929564705146311
test,endpoint,rul_raw,LSTM,100,100,11.619809287,15.666220035658137,0.8578755163646077
test,endpoint,rul_raw,Ensemble mean,100,100,10.331205633789388,13.878341502628707,0.8884638638241206
test,all_cycles_engine_weighted,rul_target,Linear Regression,13096,100,11.869599464999473,15.734513840973992,0.6146479654017913
test,all_cycles_engine_weighted,rul_target,Random Forest,13096,100,9.64383465375491,13.136411518231574,0.7314009399071653
test,all_cycles_engine_weighted,rul_target,XGBoost,13096,100,8.903145072023062,12.525186795527734,0.7558147528961187
test,all_cycles_engine_weighted,rul_target,LSTM,13096,100,10.886594334319671,15.764369316671797,0.6131842044766291
test,all_cycles_engine_weighted,rul_target,Ensemble mean,13096,100,9.935972386365838,13.238006824563968,0.7272302535299782
test,all_cycles_engine_weighted,rul_raw,Linear Regression,13096,100,41.01885387693057,54.65824676009859,-0.07511942476785216
test,all_cycles_engine_weighted,rul_raw,Random Forest,13096,100,38.793089065686004,52.68985720711406,0.0009220873022116605
test,all_cycles_engine_weighted,rul_raw,XGBoost,13096,100,38.052399483954154,52.06303847693772,0.024551521186935155
test,all_cycles_engine_weighted,rul_raw,LSTM,13096,100,40.03584874625076,54.10210002333508,-0.053352088240640416
test,all_cycles_engine_weighted,rul_raw,Ensemble mean,13096,100,39.08522679829693,53.09610534806537,-0.01454344040240274
