engine_id,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
1,-0.2400755,2.3044574,6.3147926,0.36059004,-2.263772,1.072343,5.2271047,3.8681793,-0.14337331,2.0518272,0.6192016,5.8370624,0.002026081,0.2374244
2,0.8397378,2.4934025,5.791108,4.2178836,1.208256,5.1354938,1.8124757,3.3482552,5.0926557,0.63093007,1.6674395,5.456315,0.121271014,0.6300479
3,-0.09344387,-9.632057,-10.936839,1.2873007,-2.1314318,-0.23313588,-9.744755,-6.08798,-5.584878,2.3159266,1.2088968,-8.657707,-2.2686434,3.0799193
4,-0.56206715,1.1511438,-2.1181567,0.95592177,-3.3408055,0.14234328,0.68051267,5.3924756,3.7222147,3.1720772,-4.1386313,-1.9293749,-1.324097,-0.97930014
5,0.56768924,1.2768986,-4.6721954,3.175136,2.6158164,1.3858614,7.004425,-8.079351,0.54651386,1.3701026,1.2103641,-0.41768748,0.8659682,-0.5466755
6,3.7083864,2.1775746,7.9109325,-0.19337285,-2.5012507,1.8935064,3.1249292,2.12857,-2.341176,0.8988774,2.861594,2.401506,1.034477,-0.12754728
7,0.3935838,2.7438326,-0.051025033,3.1044695,2.5193782,0.67404985,4.5123076,3.087629,-1.6814706,0.80855286,2.2444239,-0.8279574,0.5927752,-0.6101418
8,0.6955205,2.5283918,5.1518087,1.8500836,3.9755797,2.674768,7.146849,-8.263222,1.7419302,2.6599696,-5.182871,2.481595,-2.4465718,2.654385
9,2.622922,1.9360571,7.1904106,3.1322956,-0.3678112,4.667512,3.5133274,4.605436,-3.3347898,1.856634,3.1708255,3.8557248,0.76249444,2.8160486
10,0.2569317,2.1247036,3.7817066,-1.3305721,-2.5509043,0.29355878,4.124522,-1.0621566,-1.3880997,-2.6110268,2.0048792,1.9008182,-0.8524292,0.0061879307
11,1.4297961,3.335406,-9.566309,0.88919425,-1.7129946,7.8484716,3.339031,1.2928187,-2.328155,2.5856946,1.8190053,0.5231741,-2.0721064,-0.10242452
12,3.8002574,1.83549,7.0536904,2.141564,1.4115418,-1.4487178,6.0525413,4.4131203,-1.6036415,-9.406021,0.36659518,3.4624639,-1.5339434,0.15854874
13,3.7749476,4.1489725,-4.1132855,-2.6910884,2.1544178,0.85056514,-6.107136,-0.5362604,-4.1028485,-0.23964298,5.0954413,-1.3021826,1.1641688,2.5979283
14,1.9167279,0.97471386,-0.7072389,2.5935059,-2.0632887,3.64512,4.8093133,1.8487698,-0.6164961,4.188404,5.10415,2.3889422,1.5154678,1.6037555
15,2.2348378,1.6251204,4.7201695,1.1644511,-5.199338,4.3675675,-3.5591977,3.2197707,-2.1294878,1.6046834,0.40936074,-0.9334395,5.7502713,-1.1307273
16,-1.4774932,1.5576572,8.408281,2.2383244,1.2815571,-4.2529836,6.397694,-2.18805,-0.72581786,-9.274405,-2.795928,1.6659178,-0.35188884,0.8137195
17,-1.1900302,-0.8781954,-2.156674,-1.2641673,-1.3966163,-18.542545,0.5279535,1.6584265,2.0598574,-15.011816,0.8916581,-1.1906912,-2.2230272,0.91254437
18,-1.7348078,1.1330564,-6.2709045,1.2022876,-5.0417614,0.14354017,-12.260682,-9.714144,-5.3070464,-2.7060826,-4.849166,-2.5538912,-4.609987,-2.5140564
19,4.2514358,1.3165321,6.580758,0.7560128,-5.1245785,0.22486076,-8.08816,3.9061568,-0.41965377,1.0845114,-3.7622256,-1.3668138,-0.98273283,1.080485
20,-2.9195504,-9.926887,-12.846033,-4.2723494,-3.2696972,1.2547641,-10.587253,-7.3410225,-7.6027718,-2.2191133,-5.5940886,-6.445703,-2.257185,-2.062488
21,0.7590549,1.3283094,2.518012,0.20832825,1.2996734,-17.527151,2.7272384,2.9044266,1.7027891,-18.62221,2.5317953,-0.7782037,1.153103,0.5777848
22,0.8299821,2.5238574,6.1319194,4.0040445,1.191444,1.5608518,3.9494524,2.5271008,2.7850914,4.056254,4.4580126,3.577311,0.5065602,1.9565916
23,0.42413557,2.85191,7.653351,0.95423806,2.529586,-0.33856902,5.0074706,1.1041462,-0.1615064,3.1522803,2.0890613,5.796057,0.82129645,2.5616908
24,-1.045374,-8.386092,-5.9783707,-4.1009035,-3.3632958,-11.163025,-6.4372506,-6.2679434,-2.8378384,-6.3875446,-2.737955,-6.5862713,-4.3430176,-1.4342067
25,-0.7694592,1.8314185,1.8777472,1.405814,-0.36044675,5.553805,7.4153547,1.91938,0.67532957,3.4478905,4.203255,0.24698943,4.3890867,-0.41113663
26,-0.5193572,1.9551045,5.408987,1.9213173,1.4893088,1.4862369,2.7723932,1.3431515,1.1713533,0.63645893,4.9216743,3.714724,0.5274158,2.2474647
27,0.37227935,3.951579,1.0045719,-2.0163565,-1.463929,1.1108584,7.8966613,-3.2700956,-2.4000983,1.6459882,-4.796158,-0.7523788,-1.5862362,-1.4370972
28,1.1776481,2.02149,3.8509967,0.9212215,1.1874694,-5.616701,4.9847,2.2085738,1.6681747,2.3657558,-1.0687393,0.64117885,4.7964973,2.9522502
29,0.6347057,2.4914427,1.5678427,3.1715858,3.465172,-2.5848534,6.6573143,-6.174906,-0.058772758,1.2572842,4.0875683,-0.92459166,1.6481746,2.2707148
30,2.0139632,1.8402752,3.2504616,2.6961327,0.7421232,0.79309916,5.8408175,2.6081097,-3.599691,1.467566,1.9669702,-2.7346988,-1.3330798,0.9508887
31,-3.3466167,-11.358136,-12.212406,-3.4836392,-2.860221,-5.4238663,-9.45124,-6.772007,-6.02637,1.060509,-4.286222,-6.482256,-2.9347801,-2.01727
32,1.1981802,2.2772207,1.2866461,0.6248738,-2.4711177,-11.930462,-4.2050133,-7.335831,-0.8735519,-7.947768,-4.4545894,-1.1938508,-2.322691,-1.8409948
33,2.8480809,3.748921,0.7411102,0.8325692,-0.1241281,1.9505885,5.225996,4.030367,7.0089307,4.2671795,1.8813158,-1.6818208,0.055749595,2.9815607
